category_original,category_djinni,experience_original,experience_label,salary_min,salary_max,country,scrape_date,source
game developer,game_developer,Senior,5+ років,,,NL,2026-05-19,adzuna
unity developer,gamedev,Middle,2-3 роки,,,NL,2026-05-19,adzuna
unity developer,gamedev,Senior,5+ років,,,NL,2026-05-19,adzuna
golang developer,golang,Middle,2-3 роки,,,NL,2026-05-19,adzuna
golang developer,golang,Senior,5+ років,,,NL,2026-05-19,adzuna
graphic designer,graphic_design,Middle,2-3 роки,,,NL,2026-05-19,adzuna
graphic designer,graphic_design,Senior,5+ років,,,NL,2026-05-19,adzuna
head of software engineering,head_chief,Middle,2-3 роки,,,NL,2026-05-19,adzuna
head of software engineering,head_chief,Senior,5+ років,,,NL,2026-05-19,adzuna
hr manager,hr,Middle,2-3 роки,4579.0,5650.0,NL,2026-05-19,adzuna
